ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,url,NUTS2,NUTS2_Label,NUTS3,NUTS3_Label,Domain_Status
PT-HEI-013,ISCTE University Institute of Lisbon (ISCTE-IUL),Public,Non-integrated University Institute,Not found in European Commission sources,www.iscte-iul.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-014,Universidade Aberta (UAb),Public,University,Not found in European Commission sources,portal.uab.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-015,Polytechnic Institute of Leiria (IPLeiria),Public,Polytechnic Institute,Member of a European Universities Initiative alliance,www.ipleiria.pt,PT19,Centro,PT193,Regiao de Leiria,V
PT-HEI-015-D01,Polytechnic Institute of Leiria - School of Technology and Management,Public,Polytechnic Institute,Member of a European Universities Initiative alliance,estg.ipleiria.pt,PT19,Centro,PT193,Regiao de Leiria,V
PT-HEI-015-D02,Polytechnic Institute of Leiria - School of Education and Social Sciences,Public,Polytechnic Institute,Member of a European Universities Initiative alliance,esecs.ipleiria.pt,PT19,Centro,PT193,Regiao de Leiria,V
PT-HEI-015-D03,Polytechnic Institute of Leiria - School of Health Sciences,Public,Polytechnic Institute,Member of a European Universities Initiative alliance,esslei.ipleiria.pt,PT19,Centro,PT193,Regiao de Leiria,V
PT-HEI-015-D04,Polytechnic Institute of Leiria - School of Arts and Design,Public,Polytechnic Institute,Member of a European Universities Initiative alliance,esad.ipleiria.pt,PT19,Centro,PT193,Regiao de Leiria,V
PT-HEI-015-D05,Polytechnic Institute of Leiria - School of Tourism and Maritime Technology,Public,Polytechnic Institute,Member of a European Universities Initiative alliance,estm.ipleiria.pt,PT19,Centro,PT193,Regiao de Leiria,V
PT-HEI-016,Polytechnic Institute of Porto (IPP),Public,Polytechnic Institute,Not found in European Commission sources,www.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-016-D01,Polytechnic Institute of Porto - School of Engineering,Public,Polytechnic Institute,Not found in European Commission sources,isep.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-016-D02,Polytechnic Institute of Porto - School of Accounting and Administration,Public,Polytechnic Institute,Not found in European Commission sources,iscap.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-016-D03,Polytechnic Institute of Porto - School of Education,Public,Polytechnic Institute,Not found in European Commission sources,ese.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-016-D04,Polytechnic Institute of Porto - School of Health,Public,Polytechnic Institute,Not found in European Commission sources,ess.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-016-D05,Polytechnic Institute of Porto - School of Music and Performing Arts,Public,Polytechnic Institute,Not found in European Commission sources,esmae.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-016-D06,Polytechnic Institute of Porto - School of Media Arts and Design,Public,Polytechnic Institute,Not found in European Commission sources,esmad.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,K
PT-HEI-016-D07,Polytechnic Institute of Porto - School of Hospitality and Tourism,Public,Polytechnic Institute,Not found in European Commission sources,esht.ipp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,U
PT-HEI-017,Polytechnic Institute of Beja (IPBeja),Public,Polytechnic Institute,Not found in European Commission sources,www.ipbeja.pt,PT1C,Alentejo,PT1C2,Baixo Alentejo,V
PT-HEI-018,Polytechnic Institute of Braganca (IPB),Public,Polytechnic Institute,Not found in European Commission sources,www.ipb.pt,PT11,Norte,PT11E,Terras de Tras-os-Montes,V
PT-HEI-019,Polytechnic Institute of Castelo Branco (IPCB),Public,Polytechnic Institute,Not found in European Commission sources,www.ipcb.pt,PT19,Centro,PT195,Beira Baixa,V
PT-HEI-020,Polytechnic Institute of Cavado and Ave (IPCA),Public,Polytechnic Institute,Member of a European Universities Initiative alliance,www.ipca.pt,PT11,Norte,PT112,Cavado,V
PT-HEI-021,Polytechnic Institute of Coimbra (IPC),Public,Polytechnic Institute,Not found in European Commission sources,www.ipc.pt,PT19,Centro,PT192,Regiao de Coimbra,V
PT-HEI-022,Polytechnic Institute of Guarda (IPG),Public,Polytechnic Institute,Not found in European Commission sources,www.ipg.pt,PT19,Centro,PT196,Beiras e Serra da Estrela,V
PT-HEI-023,Polytechnic Institute of Lisbon (IPL),Public,Polytechnic Institute,Not found in European Commission sources,www.ipl.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-024,Polytechnic Institute of Portalegre (IPPortalegre),Public,Polytechnic Institute,Not found in European Commission sources,www.ipportalegre.pt,PT1C,Alentejo,PT1C3,Alto Alentejo,V
PT-HEI-025,Polytechnic Institute of Santarem (IPSantarem),Public,Polytechnic Institute,Not found in European Commission sources,www.ipsantarem.pt,PT1D,Oeste e Vale do Tejo,PT1D3,Leziria do Tejo,V
PT-HEI-026,Polytechnic Institute of Setubal (IPS),Public,Polytechnic Institute,Member of a European Universities Initiative alliance,www.ips.pt,PT1B,Peninsula de Setubal,PT1B0,Peninsula de Setubal,V
PT-HEI-027,Polytechnic Institute of Tomar (IPT),Public,Polytechnic Institute,Not found in European Commission sources,www.ipt.pt,PT1D,Oeste e Vale do Tejo,PT1D2,Medio Tejo,V
PT-HEI-028,Polytechnic Institute of Viana do Castelo (IPVC),Public,Polytechnic Institute,Not found in European Commission sources,www.ipvc.pt,PT11,Norte,PT111,Alto Minho,V
PT-HEI-029,Polytechnic Institute of Viseu (IPV),Public,Polytechnic Institute,Not found in European Commission sources,www.ipv.pt,PT19,Centro,PT194,Viseu Dao Lafoes,V
PT-HEI-030,Estoril Higher Institute for Tourism and Hotel Studies (ESHTE),Public,Non-integrated Polytechnic School,Not found in European Commission sources,www.eshte.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-031,Nautical School Infante D. Henrique (ENIDH),Public,Non-integrated Polytechnic School,Not found in European Commission sources,www.enautica.pt,PT1B,Peninsula de Setubal,PT1B0,Peninsula de Setubal,V
PT-HEI-032,Military University Institute (IUM),Public (Military/Police),Military and Police Higher Education Institution,Not found in European Commission sources,www.ium.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-033,Higher Institute of Police Sciences and Internal Security (ISCPSI),Public (Military/Police),Military and Police Higher Education Institution,Not found in European Commission sources,www.iscpsi.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-034,Catholic University of Portugal (UCP),Concordatarian,University,Not found in European Commission sources,www.ucp.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-035,Autonomous University of Lisbon Luis de Camoes (UAL),Private,University,Not found in European Commission sources,www.autonoma.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-036,Lusiada University (ULusiada),Cooperative,University,Not found in European Commission sources,www.lis.ulusiada.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-037,Lusofona University (ULusofona),Cooperative,University,Member of a European Universities Initiative alliance,www.ulusofona.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-038,European University (Universidade Europeia),Private,University,Not found in European Commission sources,www.europeia.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-039,Fernando Pessoa University (UFP),Private,University,Not found in European Commission sources,www.ufp.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-040,Portucalense University Infante D. Henrique (UPT),Cooperative,University,Not found in European Commission sources,www.upt.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-041,University of Maia (UMAIA),Cooperative,University,Not found in European Commission sources,www.umaia.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-042,"ISPA University Institute of Psychological, Social and Life Sciences (ISPA-IU)",Private,Non-integrated University Institute,Not found in European Commission sources,www.ispa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-043,Atlantica University Institute,Private,Non-integrated University Institute,Not found in European Commission sources,www.uatlantica.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-044,Higher Institute of Management (ISG),Private,Non-integrated University Institute,Not found in European Commission sources,www.isg.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-045,Egas Moniz University Institute (IUEM),Private,Non-integrated University Institute,Not found in European Commission sources,www.egasmoniz.edu.pt,PT1B,Peninsula de Setubal,PT1B0,Peninsula de Setubal,K
PT-HEI-046,University Institute of Health Sciences (IUCS-CESPU),Cooperative,Non-integrated University Institute,Not found in European Commission sources,www.cespu.pt,PT11,Norte,PT11C,Tamega e Sousa,V
